Index,sepal_length,sepal_width,petal_length,petal_width,class
0,7.2,3.2,6.0,1.8,2
1,7.1,3.0,5.9,2.1,2
2,4.6,3.2,1.4,0.2,0
3,6.1,3.0,4.6,1.4,1
4,5.8,2.7,5.1,1.9,2
5,5.2,4.1,1.5,0.1,0
6,4.6,3.1,1.5,0.2,0
7,6.2,2.8,4.8,1.8,2
8,5.1,2.5,3.0,1.1,1
9,5.7,4.4,1.5,0.4,0
10,4.8,3.1,1.6,0.2,0
11,5.9,3.2,4.8,1.8,1
12,5.9,3.0,5.1,1.8,2
13,4.4,3.0,1.3,0.2,0
14,5.7,2.9,4.2,1.3,1
15,7.7,3.8,6.7,2.2,2
16,6.0,3.0,4.8,1.8,2
17,6.3,3.3,4.7,1.6,1
18,5.7,2.6,3.5,1.0,1
19,6.1,2.9,4.7,1.4,1
20,5.0,3.0,1.6,0.2,0
21,5.0,3.2,1.2,0.2,0
22,5.7,2.8,4.1,1.3,1
23,7.4,2.8,6.1,1.9,2
24,5.4,3.4,1.7,0.2,0
25,5.2,2.7,3.9,1.4,1
26,4.7,3.2,1.3,0.2,0
27,7.7,3.0,6.1,2.3,2
28,6.5,3.0,5.8,2.2,2
29,6.7,3.0,5.2,2.3,2
30,4.8,3.0,1.4,0.1,0
31,5.6,2.9,3.6,1.3,1
32,5.3,3.7,1.5,0.2,0
33,7.7,2.6,6.9,2.3,2
34,6.4,2.8,5.6,2.2,2
35,5.5,2.4,3.7,1.0,1
36,6.9,3.1,5.4,2.1,2
37,5.0,3.5,1.3,0.3,0
38,6.7,3.3,5.7,2.5,2
39,5.1,3.7,1.5,0.4,0
40,7.9,3.8,6.4,2.0,2
41,6.8,2.8,4.8,1.4,1
42,6.9,3.1,4.9,1.5,1
43,5.7,2.8,4.5,1.3,1
44,4.6,3.4,1.4,0.3,0
45,6.3,2.8,5.1,1.5,2
46,6.3,2.3,4.4,1.3,1
47,6.1,2.8,4.0,1.3,1
48,6.0,2.2,4.0,1.0,1
49,5.0,3.6,1.4,0.2,0
50,6.0,2.7,5.1,1.6,1
51,5.5,3.5,1.3,0.2,0
52,6.6,3.0,4.4,1.4,1
53,5.1,3.8,1.6,0.2,0
54,5.2,3.4,1.4,0.2,0
55,6.9,3.1,5.1,2.3,2
56,6.4,2.8,5.6,2.1,2
57,6.7,3.1,4.7,1.5,1
58,4.8,3.4,1.9,0.2,0
59,7.2,3.0,5.8,1.6,2
60,4.4,3.2,1.3,0.2,0
61,5.8,4.0,1.2,0.2,0
62,5.0,3.4,1.6,0.4,0
63,5.0,2.3,3.3,1.0,1
64,6.4,2.9,4.3,1.3,1
65,6.6,2.9,4.6,1.3,1
66,5.7,3.0,4.2,1.2,1
67,6.7,3.1,4.4,1.4,1
68,4.9,2.4,3.3,1.0,1
69,5.6,3.0,4.1,1.3,1
70,6.2,3.4,5.4,2.3,2
71,4.9,3.1,1.5,0.1,0
72,5.0,3.4,1.5,0.2,0
73,4.8,3.0,1.4,0.3,0
74,7.0,3.2,4.7,1.4,1
75,5.4,3.9,1.7,0.4,0
76,4.3,3.0,1.1,0.1,0
77,5.1,3.4,1.5,0.2,0
78,7.7,2.8,6.7,2.0,2
79,5.6,3.0,4.5,1.5,1
80,5.0,3.5,1.6,0.6,0
81,5.1,3.8,1.9,0.4,0
82,7.2,3.6,6.1,2.5,2
83,4.5,2.3,1.3,0.3,0
84,4.9,3.1,1.5,0.1,0
85,6.7,2.5,5.8,1.8,2
86,6.4,3.2,4.5,1.5,1
87,4.8,3.4,1.6,0.2,0
88,6.8,3.0,5.5,2.1,2
89,6.2,2.9,4.3,1.3,1
90,6.7,3.0,5.0,1.7,1
91,6.5,2.8,4.6,1.5,1
92,5.1,3.8,1.5,0.3,0
93,5.8,2.7,5.1,1.9,2
94,4.9,3.0,1.4,0.2,0
95,6.3,2.5,4.9,1.5,1
96,6.1,2.8,4.7,1.2,1
97,6.3,3.3,6.0,2.5,2
98,6.5,3.0,5.2,2.0,2
99,4.6,3.6,1.0,0.2,0
100,5.1,3.3,1.7,0.5,0
101,6.0,2.9,4.5,1.5,1
102,5.7,2.5,5.0,2.0,2
103,5.9,3.0,4.2,1.5,1
104,6.3,3.4,5.6,2.4,2
105,6.4,3.2,5.3,2.3,2
106,6.7,3.3,5.7,2.1,2
107,5.6,2.8,4.9,2.0,2
108,6.1,2.6,5.6,1.4,2
109,6.3,2.7,4.9,1.8,2
110,5.1,3.5,1.4,0.3,0
111,5.6,2.5,3.9,1.1,1
112,5.8,2.7,3.9,1.2,1
113,6.8,3.2,5.9,2.3,2
114,5.5,2.6,4.4,1.2,1
115,6.0,3.4,4.5,1.6,1
116,4.7,3.2,1.6,0.2,0
117,6.4,3.1,5.5,1.8,2
118,5.0,2.0,3.5,1.0,1
119,6.2,2.2,4.5,1.5,1
